DateKey,Date,Day,Month,MonthName,Quarter,Year,Weekday,DayOfWeekNumber,WeekOfYear,MonthYear,IsWeekend,Season
20240101,2024-01-01,1,1,January,Q1,2024,Monday,1,1,Jan-2024,0,Winter
20240102,2024-01-02,2,1,January,Q1,2024,Tuesday,2,1,Jan-2024,0,Winter
20240103,2024-01-03,3,1,January,Q1,2024,Wednesday,3,1,Jan-2024,0,Winter
20240104,2024-01-04,4,1,January,Q1,2024,Thursday,4,1,Jan-2024,0,Winter
20240105,2024-01-05,5,1,January,Q1,2024,Friday,5,1,Jan-2024,0,Winter
20240106,2024-01-06,6,1,January,Q1,2024,Saturday,6,1,Jan-2024,1,Winter
20240107,2024-01-07,7,1,January,Q1,2024,Sunday,7,1,Jan-2024,1,Winter
20240108,2024-01-08,8,1,January,Q1,2024,Monday,1,2,Jan-2024,0,Winter
20240109,2024-01-09,9,1,January,Q1,2024,Tuesday,2,2,Jan-2024,0,Winter
20240110,2024-01-10,10,1,January,Q1,2024,Wednesday,3,2,Jan-2024,0,Winter
20240111,2024-01-11,11,1,January,Q1,2024,Thursday,4,2,Jan-2024,0,Winter
20240112,2024-01-12,12,1,January,Q1,2024,Friday,5,2,Jan-2024,0,Winter
20240113,2024-01-13,13,1,January,Q1,2024,Saturday,6,2,Jan-2024,1,Winter
20240114,2024-01-14,14,1,January,Q1,2024,Sunday,7,2,Jan-2024,1,Winter
20240115,2024-01-15,15,1,January,Q1,2024,Monday,1,3,Jan-2024,0,Winter
20240116,2024-01-16,16,1,January,Q1,2024,Tuesday,2,3,Jan-2024,0,Winter
20240117,2024-01-17,17,1,January,Q1,2024,Wednesday,3,3,Jan-2024,0,Winter
20240118,2024-01-18,18,1,January,Q1,2024,Thursday,4,3,Jan-2024,0,Winter
20240119,2024-01-19,19,1,January,Q1,2024,Friday,5,3,Jan-2024,0,Winter
20240120,2024-01-20,20,1,January,Q1,2024,Saturday,6,3,Jan-2024,1,Winter
20240121,2024-01-21,21,1,January,Q1,2024,Sunday,7,3,Jan-2024,1,Winter
20240122,2024-01-22,22,1,January,Q1,2024,Monday,1,4,Jan-2024,0,Winter
20240123,2024-01-23,23,1,January,Q1,2024,Tuesday,2,4,Jan-2024,0,Winter
20240124,2024-01-24,24,1,January,Q1,2024,Wednesday,3,4,Jan-2024,0,Winter
20240125,2024-01-25,25,1,January,Q1,2024,Thursday,4,4,Jan-2024,0,Winter
20240126,2024-01-26,26,1,January,Q1,2024,Friday,5,4,Jan-2024,0,Winter
20240127,2024-01-27,27,1,January,Q1,2024,Saturday,6,4,Jan-2024,1,Winter
20240128,2024-01-28,28,1,January,Q1,2024,Sunday,7,4,Jan-2024,1,Winter
20240129,2024-01-29,29,1,January,Q1,2024,Monday,1,5,Jan-2024,0,Winter
20240130,2024-01-30,30,1,January,Q1,2024,Tuesday,2,5,Jan-2024,0,Winter
20240131,2024-01-31,31,1,January,Q1,2024,Wednesday,3,5,Jan-2024,0,Winter
20240201,2024-02-01,1,2,February,Q1,2024,Thursday,4,5,Feb-2024,0,Winter
20240202,2024-02-02,2,2,February,Q1,2024,Friday,5,5,Feb-2024,0,Winter
20240203,2024-02-03,3,2,February,Q1,2024,Saturday,6,5,Feb-2024,1,Winter
20240204,2024-02-04,4,2,February,Q1,2024,Sunday,7,5,Feb-2024,1,Winter
20240205,2024-02-05,5,2,February,Q1,2024,Monday,1,6,Feb-2024,0,Winter
20240206,2024-02-06,6,2,February,Q1,2024,Tuesday,2,6,Feb-2024,0,Winter
20240207,2024-02-07,7,2,February,Q1,2024,Wednesday,3,6,Feb-2024,0,Winter
20240208,2024-02-08,8,2,February,Q1,2024,Thursday,4,6,Feb-2024,0,Winter
20240209,2024-02-09,9,2,February,Q1,2024,Friday,5,6,Feb-2024,0,Winter
20240210,2024-02-10,10,2,February,Q1,2024,Saturday,6,6,Feb-2024,1,Winter
20240211,2024-02-11,11,2,February,Q1,2024,Sunday,7,6,Feb-2024,1,Winter
20240212,2024-02-12,12,2,February,Q1,2024,Monday,1,7,Feb-2024,0,Winter
20240213,2024-02-13,13,2,February,Q1,2024,Tuesday,2,7,Feb-2024,0,Winter
20240214,2024-02-14,14,2,February,Q1,2024,Wednesday,3,7,Feb-2024,0,Winter
20240215,2024-02-15,15,2,February,Q1,2024,Thursday,4,7,Feb-2024,0,Winter
