InventoryID,DateKey,ProductID,OpeningStock,PurchasedQty,SoldQty,ClosingStock,ReorderLevel,StockStatus
INVST0000001,20240128,P000001,100,0,6,94,20,In Stock
INVST0000002,20240228,P000001,94,0,4,90,20,In Stock
INVST0000003,20240328,P000001,90,0,3,87,20,In Stock
INVST0000004,20240428,P000001,87,0,0,87,20,In Stock
INVST0000005,20240528,P000001,87,0,6,81,20,In Stock
INVST0000006,20240628,P000001,81,0,2,79,20,In Stock
INVST0000007,20240728,P000001,79,0,0,79,20,In Stock
INVST0000008,20240828,P000001,79,0,0,79,20,In Stock
INVST0000009,20240928,P000001,79,25,5,99,20,In Stock
INVST0000010,20241028,P000001,99,0,0,99,20,In Stock
INVST0000011,20241128,P000001,99,0,5,94,20,In Stock
INVST0000012,20241228,P000001,94,0,0,94,20,In Stock
INVST0000013,20250128,P000001,94,0,0,94,20,In Stock
INVST0000014,20250228,P000001,94,0,6,88,20,In Stock
INVST0000015,20250328,P000001,88,0,4,84,20,In Stock
INVST0000016,20250428,P000001,84,0,0,84,20,In Stock
INVST0000017,20250528,P000001,84,0,6,78,20,In Stock
INVST0000018,20250628,P000001,78,0,1,77,20,In Stock
INVST0000019,20250728,P000001,77,0,3,74,20,In Stock
INVST0000020,20250828,P000001,74,22,2,94,20,In Stock
INVST0000021,20250928,P000001,94,0,3,91,20,In Stock
INVST0000022,20251028,P000001,91,0,1,90,20,In Stock
INVST0000023,20251128,P000001,90,0,2,88,20,In Stock
INVST0000024,20251228,P000001,88,0,0,88,20,In Stock
INVST0000025,20240128,P000002,100,0,1,99,20,In Stock
INVST0000026,20240228,P000002,99,0,0,99,20,In Stock
INVST0000027,20240328,P000002,99,0,2,97,20,In Stock
INVST0000028,20240428,P000002,97,48,4,141,20,In Stock
INVST0000029,20240528,P000002,141,0,4,137,20,In Stock
INVST0000030,20240628,P000002,137,0,0,137,20,In Stock
INVST0000031,20240728,P000002,137,23,3,157,20,In Stock
INVST0000032,20240828,P000002,157,0,1,156,20,In Stock
INVST0000033,20240928,P000002,156,0,0,156,20,In Stock
INVST0000034,20241028,P000002,156,0,0,156,20,In Stock
INVST0000035,20241128,P000002,156,0,2,154,20,In Stock
INVST0000036,20241228,P000002,154,0,2,152,20,In Stock
INVST0000037,20250128,P000002,152,0,3,149,20,In Stock
INVST0000038,20250228,P000002,149,25,5,169,20,In Stock
INVST0000039,20250328,P000002,169,0,2,167,20,In Stock
INVST0000040,20250428,P000002,167,0,4,163,20,In Stock
INVST0000041,20250528,P000002,163,0,3,160,20,In Stock
INVST0000042,20250628,P000002,160,0,5,155,20,In Stock
INVST0000043,20250728,P000002,155,0,1,154,20,In Stock
INVST0000044,20250828,P000002,154,0,0,154,20,In Stock
INVST0000045,20250928,P000002,154,0,0,154,20,In Stock
INVST0000046,20251028,P000002,154,0,6,148,20,In Stock
INVST0000047,20251128,P000002,148,0,6,142,20,In Stock
INVST0000048,20251228,P000002,142,0,5,137,20,In Stock
INVST0000049,20240128,P000003,100,0,0,100,20,In Stock
INVST0000050,20240228,P000003,100,0,3,97,20,In Stock
INVST0000051,20240328,P000003,97,0,6,91,20,In Stock
INVST0000052,20240428,P000003,91,25,5,111,20,In Stock
INVST0000053,20240528,P000003,111,0,0,111,20,In Stock
INVST0000054,20240628,P000003,111,0,3,108,20,In Stock
INVST0000055,20240728,P000003,108,0,0,108,20,In Stock
INVST0000056,20240828,P000003,108,0,0,108,20,In Stock
INVST0000057,20240928,P000003,108,24,4,128,20,In Stock
INVST0000058,20241028,P000003,128,21,1,148,20,In Stock
INVST0000059,20241128,P000003,148,0,3,145,20,In Stock
INVST0000060,20241228,P000003,145,0,6,139,20,In Stock
INVST0000061,20250128,P000003,139,0,1,138,20,In Stock
INVST0000062,20250228,P000003,138,0,0,138,20,In Stock
INVST0000063,20250328,P000003,138,0,6,132,20,In Stock
INVST0000064,20250428,P000003,132,24,4,152,20,In Stock
INVST0000065,20250528,P000003,152,0,2,150,20,In Stock
INVST0000066,20250628,P000003,150,0,3,147,20,In Stock
INVST0000067,20250728,P000003,147,0,2,145,20,In Stock
INVST0000068,20250828,P000003,145,0,0,145,20,In Stock
INVST0000069,20250928,P000003,145,0,0,145,20,In Stock
INVST0000070,20251028,P000003,145,0,0,145,20,In Stock
INVST0000071,20251128,P000003,145,0,1,144,20,In Stock
INVST0000072,20251228,P000003,144,0,6,138,20,In Stock
INVST0000073,20240128,P000004,100,0,5,95,18,In Stock
INVST0000074,20240228,P000004,95,0,2,93,18,In Stock
INVST0000075,20240328,P000004,93,0,4,89,18,In Stock
INVST0000076,20240428,P000004,89,22,2,109,18,In Stock
INVST0000077,20240528,P000004,109,0,11,98,18,In Stock
INVST0000078,20240628,P000004,98,32,12,118,18,In Stock
INVST0000079,20240728,P000004,118,0,5,113,18,In Stock
INVST0000080,20240828,P000004,113,24,4,133,18,In Stock
INVST0000081,20240928,P000004,133,0,3,130,18,In Stock
INVST0000082,20241028,P000004,130,0,7,123,18,In Stock
INVST0000083,20241128,P000004,123,23,3,143,18,In Stock
INVST0000084,20241228,P000004,143,0,2,141,18,In Stock
INVST0000085,20250128,P000004,141,0,1,140,18,In Stock
INVST0000086,20250228,P000004,140,0,7,133,18,In Stock
INVST0000087,20250328,P000004,133,0,2,131,18,In Stock
INVST0000088,20250428,P000004,131,0,2,129,18,In Stock
INVST0000089,20250528,P000004,129,0,4,125,18,In Stock
INVST0000090,20250628,P000004,125,0,0,125,18,In Stock
INVST0000091,20250728,P000004,125,0,0,125,18,In Stock
INVST0000092,20250828,P000004,125,0,4,121,18,In Stock
INVST0000093,20250928,P000004,121,0,4,117,18,In Stock
INVST0000094,20251028,P000004,117,0,5,112,18,In Stock
INVST0000095,20251128,P000004,112,0,5,107,18,In Stock
INVST0000096,20251228,P000004,107,0,0,107,18,In Stock
INVST0000097,20240128,P000005,100,0,3,97,18,In Stock
INVST0000098,20240228,P000005,97,0,9,88,18,In Stock
INVST0000099,20240328,P000005,88,0,0,88,18,In Stock
INVST0000100,20240428,P000005,88,0,3,85,18,In Stock
INVST0000101,20240528,P000005,85,23,3,105,18,In Stock
INVST0000102,20240628,P000005,105,0,2,103,18,In Stock
INVST0000103,20240728,P000005,103,0,2,101,18,In Stock
INVST0000104,20240828,P000005,101,0,0,101,18,In Stock
INVST0000105,20240928,P000005,101,0,0,101,18,In Stock
INVST0000106,20241028,P000005,101,0,0,101,18,In Stock
INVST0000107,20241128,P000005,101,0,0,101,18,In Stock
INVST0000108,20241228,P000005,101,0,0,101,18,In Stock
INVST0000109,20250128,P000005,101,25,5,121,18,In Stock
INVST0000110,20250228,P000005,121,0,3,118,18,In Stock
INVST0000111,20250328,P000005,118,0,6,112,18,In Stock
INVST0000112,20250428,P000005,112,0,0,112,18,In Stock
INVST0000113,20250528,P000005,112,22,2,132,18,In Stock
INVST0000114,20250628,P000005,132,26,6,152,18,In Stock
INVST0000115,20250728,P000005,152,0,4,148,18,In Stock
INVST0000116,20250828,P000005,148,0,0,148,18,In Stock
INVST0000117,20250928,P000005,148,0,0,148,18,In Stock
INVST0000118,20251028,P000005,148,21,1,168,18,In Stock
INVST0000119,20251128,P000005,168,0,0,168,18,In Stock
INVST0000120,20251228,P000005,168,0,1,167,18,In Stock
INVST0000121,20240128,P000006,100,0,5,95,15,In Stock
INVST0000122,20240228,P000006,95,0,2,93,15,In Stock
INVST0000123,20240328,P000006,93,0,2,91,15,In Stock
INVST0000124,20240428,P000006,91,22,2,111,15,In Stock
INVST0000125,20240528,P000006,111,0,5,106,15,In Stock
INVST0000126,20240628,P000006,106,0,6,100,15,In Stock
INVST0000127,20240728,P000006,100,23,3,120,15,In Stock
INVST0000128,20240828,P000006,120,0,0,120,15,In Stock
INVST0000129,20240928,P000006,120,0,4,116,15,In Stock
INVST0000130,20241028,P000006,116,0,1,115,15,In Stock
INVST0000131,20241128,P000006,115,0,0,115,15,In Stock
INVST0000132,20241228,P000006,115,0,7,108,15,In Stock
INVST0000133,20250128,P000006,108,0,6,102,15,In Stock
INVST0000134,20250228,P000006,102,0,7,95,15,In Stock
INVST0000135,20250328,P000006,95,0,0,95,15,In Stock
INVST0000136,20250428,P000006,95,25,5,115,15,In Stock
INVST0000137,20250528,P000006,115,0,0,115,15,In Stock
INVST0000138,20250628,P000006,115,81,7,189,15,In Stock
INVST0000139,20250728,P000006,189,22,2,209,15,In Stock
INVST0000140,20250828,P000006,209,0,2,207,15,In Stock
INVST0000141,20250928,P000006,207,0,3,204,15,In Stock
INVST0000142,20251028,P000006,204,25,5,224,15,In Stock
INVST0000143,20251128,P000006,224,0,0,224,15,In Stock
INVST0000144,20251228,P000006,224,0,0,224,15,In Stock
INVST0000145,20240128,P000007,100,0,3,97,20,In Stock
INVST0000146,20240228,P000007,97,0,5,92,20,In Stock
INVST0000147,20240328,P000007,92,0,0,92,20,In Stock
INVST0000148,20240428,P000007,92,30,10,112,20,In Stock
INVST0000149,20240528,P000007,112,0,1,111,20,In Stock
INVST0000150,20240628,P000007,111,0,5,106,20,In Stock
INVST0000151,20240728,P000007,106,22,2,126,20,In Stock
INVST0000152,20240828,P000007,126,0,2,124,20,In Stock
INVST0000153,20240928,P000007,124,21,1,144,20,In Stock
INVST0000154,20241028,P000007,144,0,0,144,20,In Stock
INVST0000155,20241128,P000007,144,0,3,141,20,In Stock
INVST0000156,20241228,P000007,141,0,4,137,20,In Stock
INVST0000157,20250128,P000007,137,0,4,133,20,In Stock
INVST0000158,20250228,P000007,133,0,0,133,20,In Stock
INVST0000159,20250328,P000007,133,0,6,127,20,In Stock
INVST0000160,20250428,P000007,127,0,1,126,20,In Stock
INVST0000161,20250528,P000007,126,0,4,122,20,In Stock
INVST0000162,20250628,P000007,122,0,1,121,20,In Stock
INVST0000163,20250728,P000007,121,0,0,121,20,In Stock
INVST0000164,20250828,P000007,121,0,0,121,20,In Stock
INVST0000165,20250928,P000007,121,0,0,121,20,In Stock
INVST0000166,20251028,P000007,121,0,1,120,20,In Stock
INVST0000167,20251128,P000007,120,0,8,112,20,In Stock
INVST0000168,20251228,P000007,112,0,0,112,20,In Stock
INVST0000169,20240128,P000008,100,0,0,100,20,In Stock
INVST0000170,20240228,P000008,100,0,8,92,20,In Stock
INVST0000171,20240328,P000008,92,0,0,92,20,In Stock
INVST0000172,20240428,P000008,92,0,2,90,20,In Stock
INVST0000173,20240528,P000008,90,0,1,89,20,In Stock
INVST0000174,20240628,P000008,89,0,3,86,20,In Stock
INVST0000175,20240728,P000008,86,22,2,106,20,In Stock
INVST0000176,20240828,P000008,106,0,0,106,20,In Stock
INVST0000177,20240928,P000008,106,0,0,106,20,In Stock
INVST0000178,20241028,P000008,106,0,3,103,20,In Stock
INVST0000179,20241128,P000008,103,0,0,103,20,In Stock
INVST0000180,20241228,P000008,103,0,2,101,20,In Stock
INVST0000181,20250128,P000008,101,0,6,95,20,In Stock
INVST0000182,20250228,P000008,95,0,0,95,20,In Stock
INVST0000183,20250328,P000008,95,0,0,95,20,In Stock
INVST0000184,20250428,P000008,95,0,0,95,20,In Stock
INVST0000185,20250528,P000008,95,0,0,95,20,In Stock
INVST0000186,20250628,P000008,95,0,3,92,20,In Stock
INVST0000187,20250728,P000008,92,0,2,90,20,In Stock
INVST0000188,20250828,P000008,90,0,5,85,20,In Stock
INVST0000189,20250928,P000008,85,0,0,85,20,In Stock
INVST0000190,20251028,P000008,85,0,7,78,20,In Stock
INVST0000191,20251128,P000008,78,0,11,67,20,In Stock
INVST0000192,20251228,P000008,67,0,1,66,20,In Stock
INVST0000193,20240128,P000009,100,0,1,99,18,In Stock
INVST0000194,20240228,P000009,99,0,3,96,18,In Stock
INVST0000195,20240328,P000009,96,0,0,96,18,In Stock
INVST0000196,20240428,P000009,96,0,8,88,18,In Stock
INVST0000197,20240528,P000009,88,0,3,85,18,In Stock
