PurchaseLineID,PurchaseOrderID,DateKey,SupplierID,ProductID,QuantityPurchased,UnitCost,TotalCost,PurchaseStatus
PL0000001,PO202500001,20250415,SUP013,P000051,25,5.69,142.25,Received
PL0000002,PO202500001,20250415,SUP013,P000006,25,5.99,149.75,Received
PL0000003,PO202500001,20250415,SUP013,P000038,22,4.29,94.38,Received
PL0000004,PO202500001,20250415,SUP013,P000031,22,4.99,109.78,Received
PL0000005,PO202400002,20240315,SUP010,P000720,21,4.49,94.29,Received
PL0000006,PO202400002,20240315,SUP010,P000764,22,9.99,219.78,Received
PL0000007,PO202400002,20240315,SUP010,P000748,24,3.49,83.76,Received
PL0000008,PO202400002,20240315,SUP010,P000712,21,13.49,283.29,Received
PL0000009,PO202400002,20240315,SUP010,P000730,23,5.99,137.77,Received
PL0000010,PO202400002,20240315,SUP010,P000745,21,5.99,125.79,Received
PL0000011,PO202400002,20240315,SUP010,P000761,25,8.99,224.75,Received
PL0000012,PO202400002,20240315,SUP010,P000763,26,9.99,259.74,Received
PL0000013,PO202400003,20240115,SUP012,P000057,23,6.99,160.77,Received
PL0000014,PO202400003,20240115,SUP012,P000061,23,5.99,137.77,Received
PL0000015,PO202400003,20240115,SUP012,P000058,23,7.29,167.67,Received
PL0000016,PO202400003,20240115,SUP012,P000028,25,6.49,162.25,Received
PL0000017,PO202400003,20240115,SUP012,P000019,22,5.99,131.78,Received
PL0000018,PO202400003,20240115,SUP012,P000010,24,4.99,119.76,Received
PL0000019,PO202400003,20240115,SUP012,P000063,24,5.99,143.76,Received
PL0000020,PO202400003,20240115,SUP012,P000015,22,5.99,131.78,Received
PL0000021,PO202500004,20250715,SUP012,P000062,21,5.79,121.59,Pending
PL0000022,PO202500004,20250715,SUP012,P000058,23,7.29,167.67,Pending
PL0000023,PO202500004,20250715,SUP012,P000010,25,4.99,124.75,Pending
PL0000024,PO202500004,20250715,SUP012,P000026,22,5.69,125.18,Pending
PL0000025,PO202500004,20250715,SUP012,P000028,26,6.49,168.74,Pending
PL0000026,PO202400005,20240915,SUP004,P000227,21,5.29,111.09,Received
PL0000027,PO202400005,20240915,SUP004,P000270,21,6.49,136.29,Received
PL0000028,PO202400005,20240915,SUP004,P000216,24,6.79,162.96,Received
PL0000029,PO202400005,20240915,SUP004,P000214,24,6.49,155.76,Received
PL0000030,PO202500006,20250315,SUP023,P000092,28,14.29,400.12,Received
PL0000031,PO202500006,20250315,SUP023,P000090,21,12.99,272.79,Received
PL0000032,PO202500006,20250315,SUP023,P000112,25,4.39,109.75,Received
PL0000033,PO202500006,20250315,SUP023,P000087,21,4.29,90.09,Received
PL0000034,PO202500006,20250315,SUP023,P000108,30,5.19,155.7,Received
PL0000035,PO202500006,20250315,SUP023,P000086,21,4.29,90.09,Received
PL0000036,PO202500007,20250915,SUP008,P000603,26,5.29,137.54,Received
PL0000037,PO202500007,20250915,SUP008,P000629,22,7.49,164.78,Received
PL0000038,PO202500007,20250915,SUP008,P000623,28,5.49,153.72,Received
PL0000039,PO202500007,20250915,SUP008,P000591,26,4.29,111.54,Received
PL0000040,PO202500007,20250915,SUP008,P000638,21,4.49,94.29,Received
PL0000041,PO202500007,20250915,SUP008,P000618,26,6.79,176.54,Received
PL0000042,PO202500007,20250915,SUP008,P000601,22,4.49,98.78,Received
PL0000043,PO202500007,20250915,SUP008,P000622,23,4.79,110.17,Received
PL0000044,PO202500008,20251015,SUP006,P000362,25,2.49,62.25,Received
PL0000045,PO202500008,20251015,SUP006,P000369,27,2.99,80.73,Received
PL0000046,PO202500008,20251015,SUP006,P000444,21,1.89,39.69,Received
PL0000047,PO202500008,20251015,SUP006,P000410,21,3.49,73.29,Received
PL0000048,PO202400009,20240915,SUP013,P000052,23,5.69,130.87,Received
PL0000049,PO202400009,20240915,SUP013,P000033,23,5.19,119.37,Received
PL0000050,PO202400009,20240915,SUP013,P000034,23,5.99,137.77,Received
PL0000051,PO202400009,20240915,SUP013,P000050,23,5.49,126.27,Received
PL0000052,PO202400009,20240915,SUP013,P000038,29,4.29,124.41,Received
PL0000053,PO202400010,20240515,SUP003,P000639,23,9.99,229.77,Received
PL0000054,PO202400010,20240515,SUP003,P000165,24,0.99,23.76,Received
PL0000055,PO202400010,20240515,SUP003,P000635,24,4.99,119.76,Received
PL0000056,PO202400010,20240515,SUP003,P000178,25,1.79,44.75,Received
PL0000057,PO202400010,20240515,SUP003,P000193,23,1.69,38.87,Received
PL0000058,PO202400010,20240515,SUP003,P000131,25,3.99,99.75,Received
PL0000059,PO202400010,20240515,SUP003,P000132,24,0.79,18.96,Received
PL0000060,PO202400010,20240515,SUP003,P000166,23,1.19,27.37,Received
PL0000061,PO202400011,20240815,SUP009,P000676,28,7.99,223.72,Received
PL0000062,PO202400011,20240815,SUP009,P000707,26,18.99,493.74,Received
PL0000063,PO202400011,20240815,SUP009,P000669,25,10.99,274.75,Received
PL0000064,PO202400011,20240815,SUP009,P000675,21,24.99,524.79,Received
PL0000065,PO202400012,20240215,SUP011,P000801,24,5.49,131.76,Received
PL0000066,PO202400012,20240215,SUP011,P000805,25,5.99,149.75,Received
PL0000067,PO202400012,20240215,SUP011,P000798,21,5.29,111.09,Received
PL0000068,PO202400012,20240215,SUP011,P000776,22,2.99,65.78,Received
PL0000069,PO202400012,20240215,SUP011,P000841,21,6.49,136.29,Received
PL0000070,PO202500013,20251015,SUP016,P000358,23,5.99,137.77,Received
PL0000071,PO202500013,20251015,SUP016,P000303,21,2.59,54.39,Received
PL0000072,PO202500013,20251015,SUP016,P000317,21,11.49,241.29,Received
PL0000073,PO202500013,20251015,SUP016,P000313,23,7.49,172.27,Received
PL0000074,PO202500013,20251015,SUP016,P000319,27,2.99,80.73,Received
PL0000075,PO202500013,20251015,SUP016,P000302,23,2.59,59.57,Received
PL0000076,PO202500013,20251015,SUP016,P000340,22,3.99,87.78,Received
PL0000077,PO202500014,20250315,SUP006,P000382,22,0.99,21.78,Received
PL0000078,PO202500014,20250315,SUP006,P000413,24,1.89,45.36,Received
PL0000079,PO202500014,20250315,SUP006,P000369,25,2.99,74.75,Received
PL0000080,PO202500014,20250315,SUP006,P000389,28,1.19,33.32,Received
PL0000081,PO202500014,20250315,SUP006,P000419,22,3.49,76.78,Received
PL0000082,PO202500014,20250315,SUP006,P000407,22,2.99,65.78,Received
PL0000083,PO202500014,20250315,SUP006,P000396,28,2.29,64.12,Received
PL0000084,PO202500015,20251015,SUP003,P000635,22,4.99,109.78,Received
PL0000085,PO202500015,20251015,SUP003,P000627,24,3.99,95.76,Received
PL0000086,PO202500015,20251015,SUP003,P000208,25,2.49,62.25,Received
PL0000087,PO202500015,20251015,SUP003,P000640,21,7.49,157.29,Received
PL0000088,PO202500016,20250315,SUP012,P000029,23,6.29,144.67,Received
PL0000089,PO202500016,20250315,SUP012,P000024,24,5.49,131.76,Received
PL0000090,PO202500016,20250315,SUP012,P000023,24,5.49,131.76,Received
