SaleLineID,InvoiceID,DateKey,ProductID,QuantitySold,UnitSellingPrice,DiscountAmount,TaxAmount,LineTotal,PaymentMethod
SL00000001,INV202400001,20240101,P000178,2,2.59,0,0,5.18,Debit
SL00000002,INV202400001,20240101,P000542,1,1.69,0,0,1.69,Debit
SL00000003,INV202400001,20240101,P000001,1,7.49,3.95,0,3.54,Debit
SL00000004,INV202400001,20240101,P000381,2,1.79,0.72,0.34,3.2,Debit
SL00000005,INV202400002,20240101,P000798,1,7.69,0,0.92,8.61,Debit
SL00000006,INV202400003,20240101,P000805,3,8.49,0,3.06,28.53,Debit
SL00000007,INV202400003,20240101,P000801,2,7.99,0,1.92,17.9,Debit
SL00000008,INV202400004,20240101,P000560,1,2.29,0,0,2.29,Debit
SL00000009,INV202400005,20240101,P000119,1,5.09,0,0,5.09,Debit
SL00000010,INV202400006,20240101,P000601,2,6.49,0,1.56,14.54,Debit
SL00000011,INV202400007,20240101,P000843,2,15.99,0,3.84,35.82,Credit
SL00000012,INV202400007,20240101,P000748,3,4.99,0,1.8,16.77,Credit
SL00000013,INV202400008,20240101,P000707,3,27.49,0,0,82.47,Credit
SL00000014,INV202400008,20240101,P000075,3,4.99,1.99,0,12.98,Credit
SL00000015,INV202400008,20240101,P000776,3,4.49,0,1.62,15.09,Credit
SL00000016,INV202400008,20240101,P000767,2,8.49,0,2.04,19.02,Credit
SL00000017,INV202400009,20240101,P000165,2,1.49,0,0,2.98,Credit
SL00000018,INV202400009,20240101,P000287,3,7.99,4.23,2.37,22.11,Credit
SL00000019,INV202400009,20240101,P000340,3,5.79,0,2.08,19.45,Credit
SL00000020,INV202400010,20240101,P000001,3,7.49,0,0,22.47,Credit
SL00000021,INV202400010,20240101,P000360,3,8.79,0,3.16,29.53,Credit
SL00000022,INV202400011,20240101,P000515,2,7.99,0,0,15.98,Credit
SL00000023,INV202400011,20240101,P000393,2,3.99,0,0.96,8.94,Credit
SL00000024,INV202400012,20240101,P000704,1,42.99,0,0,42.99,Credit
SL00000025,INV202400012,20240101,P000034,3,8.49,0,0,25.47,Credit
SL00000026,INV202400012,20240101,P000211,3,8.99,0,3.24,30.21,Credit
SL00000027,INV202400012,20240101,P000212,1,9.29,0,1.11,10.4,Credit
SL00000028,INV202400013,20240101,P000597,2,7.99,5.71,1.23,11.5,Debit
SL00000029,INV202400014,20240101,P000749,2,8.49,0,2.04,19.02,Debit
SL00000030,INV202400014,20240101,P000323,1,3.29,0,0.39,3.68,Debit
SL00000031,INV202400015,20240102,P000155,3,6.99,0,0,20.97,Cash
SL00000032,INV202400015,20240102,P000405,1,4.49,2.79,0.2,1.9,Cash
SL00000033,INV202400015,20240102,P000235,1,7.99,0,0.96,8.95,Cash
SL00000034,INV202400016,20240102,P000011,2,5.69,0,0,11.38,Debit
SL00000035,INV202400016,20240102,P000774,3,4.99,0,1.8,16.77,Debit
SL00000036,INV202400017,20240102,P000334,2,4.79,0,1.15,10.73,Credit
SL00000037,INV202400017,20240102,P000267,2,6.29,0,1.51,14.09,Credit
SL00000038,INV202400017,20240102,P000069,3,8.49,0,0,25.47,Credit
SL00000039,INV202400017,20240102,P000153,2,5.69,0,0,11.38,Credit
SL00000040,INV202400018,20240102,P000617,2,9.29,0,2.23,20.81,Cash
SL00000041,INV202400018,20240102,P000160,2,5.29,0,0,10.58,Cash
SL00000042,INV202400019,20240102,P000668,3,35.99,1.33,0,106.64,Debit
SL00000043,INV202400019,20240102,P000188,2,4.79,0,0,9.58,Debit
SL00000044,INV202400019,20240102,P000716,3,12.99,4.22,4.17,38.92,Debit
SL00000045,INV202400019,20240102,P000527,3,6.19,3.59,0,14.98,Debit
SL00000046,INV202400020,20240102,P000776,3,4.49,0,1.62,15.09,Credit
SL00000047,INV202400020,20240102,P000305,2,6.29,5.27,0.88,8.19,Credit
SL00000048,INV202400020,20240102,P000231,2,8.49,0,2.04,19.02,Credit
SL00000049,INV202400021,20240102,P000576,2,4.99,6.38,0,3.6,Credit
SL00000050,INV202400021,20240102,P000273,3,3.49,0,1.26,11.73,Credit
SL00000051,INV202400021,20240102,P000683,3,10.49,0.61,0,30.86,Credit
SL00000052,INV202400022,20240102,P000567,3,5.79,3.46,0,13.91,Credit
SL00000053,INV202400022,20240102,P000153,2,5.69,0,0,11.38,Credit
SL00000054,INV202400022,20240102,P000714,2,21.99,0,5.28,49.26,Credit
SL00000055,INV202400022,20240102,P000721,1,19.99,0,2.4,22.39,Credit
SL00000056,INV202400023,20240102,P000091,3,19.99,0,0,59.97,Cash
SL00000057,INV202400023,20240102,P000831,3,12.99,0,4.68,43.65,Cash
SL00000058,INV202400023,20240102,P000103,1,4.99,0,0,4.99,Cash
SL00000059,INV202400024,20240102,P000777,1,20.99,0,2.52,23.51,Debit
SL00000060,INV202400024,20240102,P000532,2,0.99,0,0,1.98,Debit
SL00000061,INV202400024,20240102,P000029,1,8.69,0,0,8.69,Debit
SL00000062,INV202400025,20240102,P000691,2,13.99,3.31,0,24.67,Debit
SL00000063,INV202400026,20240102,P000666,1,24.99,0,0,24.99,Debit
SL00000064,INV202400026,20240102,P000262,3,5.79,0,2.08,19.45,Debit
SL00000065,INV202400026,20240102,P000047,3,6.19,0,0,18.57,Debit
SL00000066,INV202400027,20240103,P000560,2,2.29,0,0,4.58,Cash
SL00000067,INV202400027,20240103,P000339,1,3.99,0.8,0,3.19,Cash
SL00000068,INV202400027,20240103,P000616,2,7.69,2.74,1.52,14.16,Cash
SL00000069,INV202400028,20240103,P000190,1,1.89,0,0,1.89,Credit
SL00000070,INV202400028,20240103,P000207,2,4.69,3.58,0,5.8,Credit
SL00000071,INV202400028,20240103,P000243,2,5.99,0,1.44,13.42,Credit
SL00000072,INV202400028,20240103,P000627,2,5.99,0,1.44,13.42,Credit
SL00000073,INV202400029,20240103,P000385,3,1.99,0,0.72,6.69,Credit
SL00000074,INV202400029,20240103,P000666,1,24.99,4.56,0,20.43,Credit
SL00000075,INV202400030,20240103,P000502,1,3.39,1.85,0,1.54,Debit
SL00000076,INV202400030,20240103,P000299,1,3.49,0,0.42,3.91,Debit
SL00000077,INV202400030,20240103,P000401,1,11.99,0,1.44,13.43,Debit
SL00000078,INV202400031,20240103,P000130,1,6.69,0,0,6.69,Credit
SL00000079,INV202400032,20240103,P000143,1,3.59,0.72,0,2.87,Credit
SL00000080,INV202400033,20240103,P000099,1,4.99,0,0,4.99,Credit
SL00000081,INV202400033,20240103,P000562,3,2.29,0,0,6.87,Credit
SL00000082,INV202400034,20240103,P000066,2,7.49,0,0,14.98,Debit
SL00000083,INV202400035,20240103,P000322,3,3.79,0,1.36,12.73,Debit
SL00000084,INV202400035,20240103,P000592,1,6.79,1.36,0,5.43,Debit
SL00000085,INV202400036,20240103,P000312,1,11.99,0,1.44,13.43,Debit
SL00000086,INV202400036,20240103,P000552,3,7.19,7.34,0,14.23,Debit
SL00000087,INV202400037,20240103,P000035,1,6.19,0,0,6.19,Debit
SL00000088,INV202400037,20240103,P000649,3,37.99,8.76,0,105.21,Debit
SL00000089,INV202400037,20240103,P000181,2,7.99,0,0,15.98,Debit
SL00000090,INV202400037,20240103,P000684,3,8.49,3.66,0,21.81,Debit
SL00000091,INV202400038,20240104,P000478,2,2.69,0,0,5.38,Credit
SL00000092,INV202400038,20240104,P000625,2,6.29,0,1.51,14.09,Credit
SL00000093,INV202400038,20240104,P000650,1,19.99,0,0,19.99,Credit
SL00000094,INV202400038,20240104,P000120,1,5.79,0,0,5.79,Credit
SL00000095,INV202400039,20240104,P000107,3,7.19,0.86,0,20.71,Credit
SL00000096,INV202400039,20240104,P000606,3,8.29,0,2.98,27.85,Credit
SL00000097,INV202400039,20240104,P000020,3,9.29,0,0,27.87,Credit
SL00000098,INV202400040,20240104,P000325,2,3.79,0,0.91,8.49,Credit
SL00000099,INV202400040,20240104,P000140,1,2.39,0,0,2.39,Credit
SL00000100,INV202400040,20240104,P000005,1,6.99,0,0,6.99,Credit
SL00000101,INV202400041,20240104,P000545,3,2.79,0,0,8.37,Debit
SL00000102,INV202400041,20240104,P000731,3,12.99,0,4.68,43.65,Debit
SL00000103,INV202400042,20240104,P000200,1,3.29,2.58,0,0.71,Debit
SL00000104,INV202400042,20240104,P000634,1,5.99,0,0.72,6.71,Debit
SL00000105,INV202400042,20240104,P000758,1,8.49,0,1.02,9.51,Debit
SL00000106,INV202400043,20240104,P000148,3,6.99,0,0,20.97,Debit
SL00000107,INV202400044,20240104,P000767,2,8.49,0,2.04,19.02,Debit
SL00000108,INV202400044,20240104,P000526,2,5.79,0,0,11.58,Debit
SL00000109,INV202400045,20240104,P000171,3,2.49,0,0,7.47,Debit
SL00000110,INV202400045,20240104,P000197,3,2.59,0.67,0,7.1,Debit
SL00000111,INV202400046,20240104,P000653,1,12.49,2.39,0,10.1,Cash
SL00000112,INV202400046,20240104,P000320,2,4.49,0,1.08,10.06,Cash
SL00000113,INV202400047,20240104,P000816,2,16.49,6.86,3.13,29.25,Credit
SL00000114,INV202400047,20240104,P000318,1,12.99,0,1.56,14.55,Credit
SL00000115,INV202400048,20240104,P000365,2,4.29,0,1.03,9.61,Credit
SL00000116,INV202400049,20240105,P000164,1,7.49,0,0,7.49,Debit
SL00000117,INV202400049,20240105,P000456,3,2.79,6.4,0,1.97,Debit
SL00000118,INV202400050,20240105,P000041,1,5.69,0,0,5.69,Debit
SL00000119,INV202400050,20240105,P000819,1,8.49,0.95,0.9,8.44,Debit
SL00000120,INV202400050,20240105,P000658,2,24.99,0,0,49.98,Debit
SL00000121,INV202400051,20240105,P000458,3,2.79,0,0,8.37,Debit
SL00000122,INV202400051,20240105,P000113,3,6.69,0,0,20.07,Debit
SL00000123,INV202400051,20240105,P000789,2,9.99,0,2.4,22.38,Debit
SL00000124,INV202400052,20240105,P000436,2,7.29,0,1.75,16.33,Debit
SL00000125,INV202400052,20240105,P000693,3,9.29,0,0,27.87,Debit
SL00000126,INV202400053,20240105,P000421,2,4.99,9.24,0.09,0.83,Credit
SL00000127,INV202400053,20240105,P000573,1,5.79,0,0,5.79,Credit
SL00000128,INV202400053,20240105,P000593,3,6.99,0,2.52,23.49,Credit
SL00000129,INV202400054,20240105,P000100,3,6.19,3.67,0,14.9,Credit
SL00000130,INV202400054,20240105,P000426,3,4.79,0,1.72,16.09,Credit
SL00000131,INV202400054,20240105,P000599,2,8.79,0,2.11,19.69,Credit
SL00000132,INV202400054,20240105,P000148,2,6.99,0,0,13.98,Credit
SL00000133,INV202400055,20240105,P000526,2,5.79,0,0,11.58,Credit
SL00000134,INV202400055,20240105,P000215,1,9.99,0,1.2,11.19,Credit
SL00000135,INV202400055,20240105,P000045,2,4.29,0,0,8.58,Credit
SL00000136,INV202400055,20240105,P000562,3,2.29,0,0,6.87,Credit
SL00000137,INV202400056,20240105,P000071,2,3.79,0,0,7.58,Debit
SL00000138,INV202400056,20240105,P000549,2,2.29,0,0,4.58,Debit
SL00000139,INV202400057,20240105,P000737,1,5.79,1.66,0.5,4.63,Debit
SL00000140,INV202400057,20240105,P000692,1,16.49,0,0,16.49,Debit
SL00000141,INV202400057,20240105,P000139,3,7.49,0,0,22.47,Debit
SL00000142,INV202400057,20240105,P000414,1,2.99,0,0.36,3.35,Debit
SL00000143,INV202400058,20240105,P000383,2,1.79,0,0.43,4.01,Credit
SL00000144,INV202400058,20240105,P000594,3,7.79,0,2.8,26.17,Credit
SL00000145,INV202400059,20240105,P000391,2,1.99,0.8,0,3.18,Debit
SL00000146,INV202400059,20240105,P000271,3,3.49,0,1.26,11.73,Debit
SL00000147,INV202400060,20240105,P000042,2,5.69,6.91,0,4.47,Debit
SL00000148,INV202400060,20240105,P000717,1,11.49,5.18,0.76,7.07,Debit
SL00000149,INV202400061,20240105,P000063,2,8.49,0,0,16.98,Credit
SL00000150,INV202400062,20240105,P000714,3,21.99,0,7.92,73.89,Debit
SL00000151,INV202400062,20240105,P000524,2,3.69,0,0,7.38,Debit
SL00000152,INV202400062,20240105,P000206,2,4.29,0,0,8.58,Debit
SL00000153,INV202400063,20240105,P000575,2,4.99,0,0,9.98,Credit
SL00000154,INV202400064,20240105,P000608,2,5.29,6.54,0.48,4.52,Credit
SL00000155,INV202400064,20240105,P000308,2,5.79,0,1.39,12.97,Credit
SL00000156,INV202400064,20240105,P000134,3,1.29,0,0,3.87,Credit
SL00000157,INV202400065,20240105,P000364,1,4.29,0,0.51,4.8,Credit
SL00000158,INV202400066,20240106,P000367,3,4.49,0,1.62,15.09,Debit
SL00000159,INV202400066,20240106,P000779,1,8.99,0,1.08,10.07,Debit
SL00000160,INV202400067,20240106,P000575,3,4.99,1.04,0,13.93,Debit
SL00000161,INV202400067,20240106,P000073,1,3.49,0,0,3.49,Debit
SL00000162,INV202400068,20240106,P000004,3,7.29,7.92,0,13.95,Debit
SL00000163,INV202400069,20240106,P000187,2,4.19,0,0,8.38,Debit
SL00000164,INV202400069,20240106,P000442,2,5.79,0,1.39,12.97,Debit
SL00000165,INV202400069,20240106,P000220,2,4.79,2.13,0.89,8.34,Debit
SL00000166,INV202400069,20240106,P000051,1,7.99,0,0,7.99,Debit
SL00000167,INV202400070,20240106,P000837,2,10.99,4.1,2.15,20.03,Credit
SL00000168,INV202400071,20240106,P000376,3,4.49,0,1.62,15.09,Cash
SL00000169,INV202400071,20240106,P000561,2,2.39,4.35,0,0.43,Cash
SL00000170,INV202400071,20240106,P000450,3,4.49,0,1.62,15.09,Cash
SL00000171,INV202400072,20240106,P000229,1,7.79,0,0.93,8.72,Debit
SL00000172,INV202400072,20240106,P000529,2,4.99,0,0,9.98,Debit
SL00000173,INV202400072,20240106,P000057,3,9.99,0,0,29.97,Debit
SL00000174,INV202400072,20240106,P000104,1,5.19,0,0,5.19,Debit
SL00000175,INV202400073,20240106,P000553,2,7.19,2.73,0,11.65,Debit
SL00000176,INV202400073,20240106,P000753,1,11.49,0,1.38,12.87,Debit
SL00000177,INV202400074,20240106,P000148,1,6.99,0,0,6.99,Credit
SL00000178,INV202400075,20240106,P000385,1,1.99,0,0.24,2.23,Debit
SL00000179,INV202400075,20240106,P000320,1,4.49,0,0.54,5.03,Debit
SL00000180,INV202400075,20240106,P000074,1,4.79,0,0,4.79,Debit
SL00000181,INV202400076,20240106,P000499,1,4.39,0.9,0,3.49,Credit
SL00000182,INV202400076,20240106,P000780,3,3.69,0,1.33,12.4,Credit
SL00000183,INV202400076,20240106,P000642,1,8.99,0,0,8.99,Credit
SL00000184,INV202400076,20240106,P000802,2,7.99,0,1.92,17.9,Credit
SL00000185,INV202400077,20240106,P000682,1,9.99,0,0,9.99,Cash
SL00000186,INV202400077,20240106,P000001,1,7.49,0,0,7.49,Cash
SL00000187,INV202400077,20240106,P000823,1,14.99,0,1.8,16.79,Cash
SL00000188,INV202400078,20240106,P000011,2,5.69,0,0,11.38,Debit
SL00000189,INV202400078,20240106,P000203,2,4.79,0,0,9.58,Debit
SL00000190,INV202400079,20240106,P000118,1,5.99,0,0,5.99,Debit
SL00000191,INV202400079,20240106,P000087,1,6.19,0,0,6.19,Debit
